ingredient,ingredient_norm,total fat,total carbohydrate,calcium,cholesterol,saturated fat,protein,iron
#cakeweek,#cakeweek,,,,,,,
#wasteless,#wasteless,,,,,,,
mustard greens,mustard greens,0.0,1.71,8.15,0.0,0.0,7.06,6.56
nancy silverton,nancy silverton,1.71,2.57,13.62,3.0,5.55,9.74,0.0
nebraska,nebraska,22.95,22.07,5.46,0.0,0.0,21.4,17.83
nectarine,nectarine,0.36,3.34,0.15,0.0,0.0,2.12,1.67
new hampshire,new hampshire,0.0,10.4,2.77,0.0,0.0,0.0,3.94
new jersey,new jersey,0.85,4.33,0.54,0.0,0.0,1.32,1.11
new mexico,new mexico,0.0,36.36,0.0,0.0,0.0,0.0,0.0
new orleans,new orleans,0.0,0.0,,,,0.0,
new year's day,new year's day,,,,,,,
new year's eve,new year's eve,,,,,,,
new york,new york,3.5,0.0,1.92,20.0,2.97,42.4,2.11
"no meat, no problem","no meat, no problem",14.15,2.62,5.0,26.0,20.69,34.98,11.39
no sugar added,no sugar added,0.0,2.15,0.0,0.0,0.0,0.0,3.72
no-cook,no-cook,16.6,0.0,1.31,38.67,18.61,47.6,32.67
non-alcoholic,non-alcoholic,0.0,0.4,0.69,0.0,0.0,1.0,2.22
noodle,noodle,6.79,6.91,,,,6.4,
north carolina,north carolina,0.85,4.33,0.54,0.0,0.0,1.32,1.11
nut,nut,49.87,13.2,3.23,,,34.8,33.28
nutmeg,nutmeg,128.21,0.0,0.0,0.0,450.0,0.0,0.0
oat,oat,2.99,1.95,11.92,0.0,0.94,1.32,1.17
oatmeal,oatmeal,8.55,24.25,25.62,0.0,0.0,,133.33
octopus,octopus,16.62,4.87,4.23,14.33,9.18,26.5,27.33
ohio,ohio,7.69,10.58,6.62,5.67,15.0,15.42,12.83
oklahoma,oklahoma,8.1,8.18,1.08,0.67,3.5,7.72,5.28
okra,okra,0.0,2.91,6.15,0.0,0.0,6.0,3.0
oktoberfest,oktoberfest,29.49,0.96,0.0,22.0,39.8,28.4,5.33
olive,olive,38.53,1.52,4.62,0.0,24.26,1.46,18.89
omelet,omelet,0.29,2.0,1.08,0.0,0.19,2.2,1.78
one-pot meal,one-pot meal,7.54,7.13,8.15,14.0,14.7,34.0,5.44
onion,onion,1.0,21.6,1.23,0.0,0.0,21.8,19.56
orange,orange,0.0,32.91,,,,9.52,
orange juice,orange juice,0.0,3.93,11.23,,0.0,1.66,
oregano,oregano,0.0,0.0,,0.0,,0.0,
oregon,oregon,1.37,29.09,2.08,0.0,0.73,15.8,8.17
organic,organic,4.56,2.59,3.92,0.33,6.71,2.76,6.61
orzo,orzo,2.29,28.58,0.0,0.0,0.0,25.0,17.83
oscars,oscars,37.31,0.89,0.92,21.33,64.0,22.0,7.56
oyster,oyster,13.78,6.69,7.46,3.33,10.71,9.9,13.44
pacific palisades,pacific palisades,0.32,0.0,1.31,20.33,0.24,40.8,0.89
paleo,paleo,22.31,20.55,6.69,0.0,10.85,34.8,17.39
pan-fry,pan-fry,14.85,20.5,6.62,10.0,10.91,18.84,15.94
pancake,pancake,0.49,16.5,1.31,0.0,0.51,8.1,12.89
papaya,papaya,0.0,23.64,11.54,0.0,0.0,5.0,0.0
paprika,paprika,0.0,0.0,,,,0.0,
parade,parade,42.69,16.98,0.0,0.0,166.5,13.34,0.0
paris,paris,6.87,0.65,0.0,20.67,8.95,39.2,10.72
parmesan,parmesan,35.64,5.05,65.62,28.67,77.0,56.8,2.72
parsley,parsley,0.0,0.0,,,,0.0,
parsnip,parsnip,3.64,5.99,2.77,0.67,3.57,2.58,3.11
party,party,68.72,5.2,5.46,0.0,44.65,57.2,7.17
pasadena,pasadena,8.97,6.91,3.08,1.67,7.5,8.0,5.0
passion fruit,passion fruit,0.0,2.43,0.0,0.0,0.0,2.22,6.67
passover,passover,8.55,19.38,7.69,5.67,0.0,0.0,1.83
pasta,pasta,2.29,28.58,0.0,0.0,0.0,25.0,17.83
pasta maker,pasta maker,1.18,11.16,0.54,0.0,0.87,11.52,7.06
pastry,pastry,49.36,16.62,0.77,0.0,27.51,14.8,14.44
pea,pea,18.09,22.62,9.46,0.0,26.45,28.22,21.11
peach,peach,28.46,19.38,1.69,22.33,22.2,8.88,8.89
peanut,peanut,35.0,22.04,4.69,5.0,53.0,18.18,6.06
peanut butter,peanut butter,65.85,8.11,3.77,0.0,51.62,44.42,9.67
peanut free,peanut free,39.78,18.37,0.0,5.67,43.11,20.68,13.78
pear,pear,0.19,5.52,0.69,0.0,0.11,0.74,1.0
pecan,pecan,92.31,5.05,5.38,0.0,30.9,18.34,14.06
pennsylvania,pennsylvania,23.85,1.04,0.0,19.0,28.55,34.2,2.83
pepper,pepper,0.0,24.25,33.62,0.0,0.0,0.0,160.56
pernod,pernod,26.79,5.75,15.77,21.0,60.0,15.18,17.56
persian new year,persian new year,,,,,,,
persimmon,persimmon,0.85,34.93,1.69,0.0,0.27,3.08,2.33
peru,peru,55.77,17.38,4.0,0.0,130.5,17.4,10.61
pescatarian,pescatarian,,,,,,,
philippines,philippines,0.0,30.91,1.92,0.0,0.0,5.0,2.78
phyllo/puff pastry dough,phyllo/puff pastry dough,,,,,,,
pickles,pickles,0.0,16.98,,,,0.0,13.33
picnic,picnic,21.28,1.73,3.62,12.67,30.35,29.8,5.67
pie,pie,15.51,13.42,0.92,3.33,33.55,5.36,3.72
pine nut,pine nut,87.65,4.76,1.23,0.0,24.5,27.38,30.72
pineapple,pineapple,0.0,28.58,2.77,0.0,0.0,0.0,3.56
pistachio,pistachio,59.87,9.71,10.23,0.0,33.35,40.0,26.67
pittsburgh,pittsburgh,3.44,25.96,0.0,0.0,0.0,25.0,19.83
pizza,pizza,12.82,10.15,3.31,7.0,17.85,21.4,12.17
plantain,plantain,37.94,23.21,0.69,0.0,41.69,4.56,5.39
plum,plum,0.36,4.15,0.46,0.0,0.09,1.4,0.94
poach,poach,12.77,0.35,3.69,137.0,16.0,24.8,9.28
poblano,poblano,0.24,1.87,0.64,,,2.86,0.65
poker/game night,poker/game night,,,,,,,
pomegranate,pomegranate,0.0,4.4,0.62,0.0,0.0,0.0,
pomegranate juice,pomegranate juice,0.0,4.47,3.23,0.0,,0.0,0.0
poppy,poppy,42.73,8.63,4.54,5.0,30.3,1.84,1.39
pork,pork,5.28,0.43,0.0,25.33,11.75,42.4,7.06
pork chop,pork chop,11.59,2.84,1.15,15.33,13.34,36.74,4.06
pork rib,pork rib,19.38,4.41,3.23,19.33,27.15,32.44,4.61
pork tenderloin,pork tenderloin,2.86,0.97,,18.0,4.45,35.8,
port,port,36.15,0.21,50.0,41.0,83.5,47.6,2.39
portland,portland,0.0,,,,,0.0,
pot pie,pot pie,19.71,8.71,3.15,7.33,27.27,17.84,9.5
potato,potato,14.51,4.91,2.54,24.67,15.56,7.78,4.17
potato salad,potato salad,14.62,5.45,0.62,2.33,8.95,2.86,7.94
potluck,potluck,,,,,,,
poultry,poultry,3.36,1.92,0.77,1.67,3.19,1.42,0.5
poultry sausage,poultry sausage,3.36,1.92,0.77,1.67,3.19,1.42,0.5
pressure cooker,pressure cooker,28.59,5.85,0.38,0.0,94.5,1.96,0.11
prosciutto,prosciutto,27.44,0.0,0.0,29.67,62.5,50.0,7.17
providence,providence,,,,,,,
prune,prune,0.26,23.67,2.38,0.0,0.08,4.2,15.56
pumpkin,pumpkin,0.0,3.2,1.85,0.0,0.0,1.6,8.89
punch,punch,,,0.0,,,,0.0
purim,purim,13.72,23.38,0.0,0.0,35.7,7.14,0.0
quail,quail,18.0,0.0,1.15,28.67,19.69,50.0,24.5
quiche,quiche,20.38,6.62,13.54,31.33,38.25,20.0,4.72
quick & easy,quick & easy,8.81,24.8,3.62,0.0,5.55,27.4,25.78
quick and healthy,quick and healthy,8.81,24.8,3.62,0.0,5.55,27.4,25.78
quince,quince,0.13,5.56,0.85,0.0,0.05,0.8,3.89
quinoa,quinoa,9.15,23.38,0.0,0.0,0.0,28.6,21.44
rabbit,rabbit,10.69,0.0,1.54,28.33,12.45,60.28,13.06
rack of lamb,rack of lamb,12.77,0.02,0.62,20.67,21.5,39.8,7.56
radicchio,radicchio,,,,,,,
radish,radish,0.13,1.24,1.92,0.0,0.16,1.36,1.89
raisin,raisin,5.44,19.09,2.62,0.0,0.0,20.4,16.94
ramadan,ramadan,,,,,,,
ramekin,ramekin,10.83,5.64,0.0,33.0,24.65,8.46,2.83
raspberry,raspberry,0.0,24.25,0.0,0.0,0.0,0.0,0.0
raw,raw,0.4,4.85,2.85,0.0,0.19,1.62,0.83
red wine,red wine,0.0,0.95,0.62,0.0,0.0,0.14,2.56
rhode island,rhode island,1.58,2.69,2.69,1.0,1.55,4.94,13.72
rhubarb,rhubarb,0.28,6.35,5.62,0.0,0.24,1.62,1.11
rice,rice,3.12,9.6,2.15,0.0,0.0,6.94,10.44
ricotta,ricotta,12.13,2.18,19.08,13.33,29.74,19.2,1.5
roast,roast,12.46,0.0,1.15,29.67,19.0,58.16,16.06
root vegetable,root vegetable,0.19,6.29,3.15,0.0,0.12,3.06,4.44
rosemary,rosemary,0.0,0.0,,0.0,,0.0,
rosh hashanah/yom kippur,rosh hashanah/yom kippur,,,,,,,
rosé,rosé,,,,,,,
rub,rub,0.0,18.18,,,,0.0,
rum,rum,0.0,0.0,0.0,0.0,0.0,0.0,0.22
rutabaga,rutabaga,0.0,2.91,3.08,0.0,0.0,2.0,2.0
rye,rye,2.99,17.75,5.38,0.0,5.8,13.96,16.28
saffron,saffron,0.0,0.0,,0.0,,0.0,
sage,sage,0.0,0.0,,0.0,,0.0,
sake,sake,0.0,1.82,0.38,0.0,0.0,1.0,0.56
salad,salad,5.91,9.82,5.08,0.0,8.2,5.26,5.28
salad dressing,salad dressing,42.69,1.21,0.0,0.0,8.35,0.0,0.0
salmon,salmon,10.19,0.96,1.0,15.33,6.6,30.4,2.67
salsa,salsa,11.31,3.21,4.54,5.0,14.7,5.88,0.0
san francisco,san francisco,1.59,1.67,2.15,4.67,2.65,5.66,1.94
sandwich,sandwich,14.87,9.38,12.38,9.67,19.35,14.2,9.67
sandwich theory,sandwich theory,31.46,21.23,6.23,0.0,24.02,22.94,15.39
sangria,sangria,0.0,36.36,0.0,0.0,0.0,0.0,0.0
santa monica,santa monica,0.0,29.85,0.0,0.0,0.0,0.0,0.0
sardine,sardine,10.21,7.95,23.54,26.33,6.07,35.74,17.33
sauce,sauce,0.0,8.07,0.0,0.0,0.0,0.0,0.0
sausage,sausage,8.01,9.09,6.0,23.33,15.6,15.62,6.22
sauté,sauté,,,,,,,
scallop,scallop,16.08,5.14,1.46,8.33,8.8,22.16,6.56
scotch,scotch,0.0,0.0,0.0,0.0,0.0,0.0,0.22
seafood,seafood,6.1,5.98,1.38,8.33,5.02,16.06,6.67
seattle,seattle,37.44,24.25,0.0,20.67,94.0,8.34,0.0
seed,seed,2.95,11.64,4.69,0.0,3.1,10.6,3.33
self,self,2.21,27.2,26.92,0.0,1.17,16.82,26.28
semolina,semolina,2.78,28.47,0.0,0.0,0.0,21.8,19.33
sesame,sesame,57.95,3.13,1.46,0.0,31.0,6.2,3.33
sesame oil,sesame oil,128.21,0.0,0.0,0.0,71.0,0.0,0.0
shallot,shallot,0.13,6.11,2.85,0.0,0.09,5.0,6.67
shavuot,shavuot,,,,,,,
shellfish,shellfish,8.55,1.78,4.92,46.67,6.17,30.92,2.94
sherry,sherry,0.0,0.0,,0.0,0.0,0.0,
shower,shower,21.41,8.62,10.15,19.0,57.0,7.02,1.78
shrimp,shrimp,0.0,0.0,5.46,37.33,0.0,23.6,2.33
side,side,0.24,1.56,1.85,0.0,0.1,2.06,3.61
simmer,simmer,6.92,0.28,1.0,144.67,8.85,52.8,37.78
skewer,skewer,10.53,3.26,0.0,18666.67,11.2,31.4,0.0
slow cooker,slow cooker,0.0,20.76,,0.0,0.0,0.0,
smoker,smoker,0.0,36.36,,,,0.0,
smoothie,smoothie,8.5,2.12,5.62,1.33,6.96,5.5,2.28
snack,snack,35.26,17.27,9.62,6.0,112.5,10.0,22.5
snack week,snack week,33.06,22.95,6.15,0.67,15.17,13.74,11.56
snapper,snapper,1.88,0.0,2.46,12.67,0.0,41.2,0.0
sorbet,sorbet,0.06,9.86,0.23,0.0,0.0,1.58,0.94
soufflé/meringue,soufflé/meringue,,,,,,,
soup/stew,soup/stew,,,,,,,
sour cream,sour cream,21.41,2.43,10.23,22.33,58.5,6.66,0.0
sourdough,sourdough,3.88,26.44,2.31,0.0,0.0,21.2,6.06
south carolina,south carolina,0.0,3.37,0.0,0.0,0.0,1.32,0.0
soy,soy,9.42,19.33,13.15,0.0,5.51,53.0,28.89
soy free,soy free,9.42,19.33,13.15,0.0,5.51,53.0,28.89
soy sauce,soy sauce,0.73,1.79,2.54,0.0,0.36,16.28,8.06
spain,spain,119.62,0.0,,,66.5,0.0,
sparkling wine,sparkling wine,0.0,0.84,0.69,0.0,0.0,0.14,1.67
spice,spice,16.15,25.2,52.46,0.0,32.65,11.52,109.44
spinach,spinach,0.0,1.28,7.23,0.0,0.0,7.06,17.67
spirit,spirit,0.0,0.81,,0.0,0.0,0.0,
spring,spring,2.46,24.73,1.92,0.0,1.57,30.8,20.0
spritzer,spritzer,0.0,0.59,0.54,0.0,0.0,0.08,1.22
squash,squash,3.59,2.28,1.62,0.67,3.63,1.3,1.83
squid,squid,21.03,1.32,5.62,9.0,13.65,29.2,7.28
st. louis,st. louis,15.51,2.93,14.69,6.67,26.85,12.08,3.72
st. patrick's day,st. patrick's day,19.87,22.04,0.0,9.33,31.7,5.64,4.72
steak,steak,0.0,40.36,0.0,0.0,0.0,0.0,0.0
steam,steam,2.77,1.25,5.77,17.0,3.0,14.46,32.44
stew,stew,3.0,2.29,1.08,12.33,3.24,18.48,2.56
stir-fry,stir-fry,3.64,3.51,2.69,0.67,3.56,4.02,5.61
stock,stock,1.13,0.64,0.0,0.0,0.0,0.0,0.0
strawberry,strawberry,0.0,23.64,,,,0.0,
stuffing/dressing,stuffing/dressing,,,,,,,
sugar conscious,sugar conscious,0.4,36.13,0.08,0.0,0.0,0.0,0.28
sugar snap pea,sugar snap pea,0.0,2.89,2.62,0.0,0.0,4.54,4.44
sukkot,sukkot,,,,,,,
summer,summer,11.46,2.5,4.85,33.67,22.24,9.3,4.39
super bowl,super bowl,10.4,0.1,6.08,31.0,16.43,42.08,3.0
suzanne goin,suzanne goin,0.0,27.27,,0.0,0.0,0.0,
sweet potato/yam,sweet potato/yam,,,,,,,
swiss cheese,swiss cheese,33.46,1.58,66.92,29.0,87.0,52.2,0.0
switzerland,switzerland,41.15,0.0,68.69,29.67,107.0,57.2,2.0
swordfish,swordfish,15.15,2.83,1.15,25.67,14.72,43.78,5.44
taco,taco,11.76,5.49,7.31,6.33,14.9,13.38,9.83
tailgating,tailgating,0.0,34.04,0.0,0.0,0.0,0.0,0.0
tamarind,tamarind,0.77,22.73,5.69,0.0,1.36,5.6,15.56
tangerine,tangerine,0.0,4.95,,,,0.0,
tapioca,tapioca,0.0,30.29,,,,0.0,
tarragon,tarragon,0.0,0.0,,,,0.0,
tart,tart,11.56,26.12,0.92,0.0,15.46,8.02,24.17
tea,tea,0.0,3.08,,,,0.0,
tennessee,tennessee,0.0,14.55,4.62,0.0,0.0,13.34,0.0
tequila,tequila,0.0,0.0,0.0,0.0,0.0,0.0,0.22
tested & improved,tested & improved,3.05,0.05,0.38,131.0,3.97,22.8,6.33
texas,texas,1.26,8.25,1.15,,,4.04,8.11
thanksgiving,thanksgiving,2.14,1.82,0.0,19.33,0.0,43.4,6.67
thyme,thyme,0.0,0.0,,0.0,,0.0,
tilapia,tilapia,4.58,0.65,1.38,15.0,6.7,37.6,3.56
tofu,tofu,,,,,,,
tomatillo,tomatillo,1.31,2.12,0.54,0.0,0.7,1.92,3.44
tomato,tomato,,,,,,,
tortillas,tortillas,2.29,14.29,11.0,0.0,0.0,7.14,7.17
tree nut,tree nut,0.09,3.93,0.62,0.0,,0.58,0.89
tree nut free,tree nut free,0.09,3.93,0.62,0.0,,0.58,0.89
triple sec,triple sec,0.0,23.02,,,,0.0,
tropical fruit,tropical fruit,0.0,5.2,0.0,0.0,0.0,1.42,1.44
trout,trout,21.63,4.26,2.62,17.0,13.57,34.16,6.28
tuna,tuna,4.83,3.78,2.92,1.67,2.35,11.32,3.78
turkey,turkey,1.63,2.47,3.23,11.33,2.1,19.5,6.33
turnip,turnip,0.24,1.23,8.77,0.0,0.16,4.92,9.06
utah,utah,0.0,29.45,,,,0.0,
valentine's day,valentine's day,19.87,22.04,0.0,9.33,31.7,5.64,4.72
vanilla,vanilla,20.77,8.11,9.0,30.67,51.65,7.0,1.89
veal,veal,10.95,2.45,1.08,18.33,17.93,35.64,5.83
vegan,vegan,24.62,5.82,0.0,8.0,16.5,0.6,0.0
vegetable,vegetable,0.26,2.47,2.15,0.0,0.18,4.6,4.61
vegetarian,vegetarian,3.1,6.87,2.38,0.0,1.74,12.56,11.0
venison,venison,32.15,0.0,1.31,30.0,48.79,40.46,13.5
vermont,vermont,45.77,0.0,41.23,35.67,107.0,50.0,0.0
vermouth,vermouth,14.23,0.0,,,,0.0,
vinegar,vinegar,0.0,0.34,0.54,0.0,0.0,0.0,1.11
virginia,virginia,62.56,6.0,6.85,0.0,32.15,50.4,14.17
vodka,vodka,0.0,0.0,0.0,0.0,0.0,0.0,0.22
waffle,waffle,39.87,21.82,0.0,9.67,100.0,8.88,0.0
walnut,walnut,48.59,13.78,15.92,5.67,60.5,20.6,20.67
wasabi,wasabi,13.97,16.76,3.15,0.0,10.15,4.46,2.78
washington,washington,0.0,26.36,0.0,0.0,0.0,5.0,5.0
"washington, d.c.","washington, d.c.",0.0,16.98,5.15,0.0,0.0,0.0,3.72
watercress,watercress,3.64,0.49,9.62,0.67,3.72,4.8,1.17
watermelon,watermelon,0.32,2.71,,0.0,0.0,1.56,
wedding,wedding,3.08,2.68,1.69,2.33,4.02,7.14,3.78
weelicious,weelicious,,,,,,,
west virginia,west virginia,62.56,6.0,6.85,0.0,32.15,50.4,14.17
westwood,westwood,,,,,,,
wheat/gluten-free,wheat/gluten-free,,,,,,,
whiskey,whiskey,0.0,0.0,0.0,0.0,0.0,0.0,0.22
white wine,white wine,0.0,0.95,0.69,0.0,0.0,0.14,1.5
whole wheat,whole wheat,0.0,6.51,11.0,0.0,0.0,28.6,28.56
wild rice,wild rice,1.42,28.29,0.0,0.0,0.0,26.6,8.89
windsor,windsor,,,,,,,
wine,wine,0.0,0.59,0.54,0.0,0.0,0.08,1.22
winter,winter,2.9,4.41,2.69,24.33,3.74,6.8,4.39
wisconsin,wisconsin,,,,,,,
wok,wok,128.21,0.0,0.0,0.0,38.8,0.0,0.0
yellow squash,yellow squash,0.0,1.48,1.54,0.0,0.0,2.04,2.06
yogurt,yogurt,4.51,1.6,10.15,5.0,11.0,7.04,0.0
yonkers,yonkers,,,,,,,
yuca,yuca,0.0,10.69,0.92,0.0,0.0,2.36,7.06
zucchini,zucchini,0.0,1.53,1.62,0.0,0.0,2.1,2.44
