ingredient,ingredient_norm,total fat,total carbohydrate,calcium,cholesterol,saturated fat,protein,iron
#cakeweek,#cakeweek,,,,,,,
#wasteless,#wasteless,,,,,,,
california,california,19.74,3.14,1.0,0.0,10.65,3.92,3.39
calvados,calvados,41.15,0.13,0.0,23.67,71.5,28.6,0.0
cambridge,cambridge,0.0,23.64,0.0,0.0,0.0,0.0,0.0
campari,campari,,,,,,,
camping,camping,16.92,9.09,9.08,17.0,44.1,5.88,0.0
canada,canada,5.15,0.0,0.31,26.67,3.04,48.6,32.83
candy,candy,0.0,27.27,0.0,0.0,0.0,0.0,0.0
candy thermometer,candy thermometer,27.18,23.2,16.38,9.0,63.5,12.38,6.06
cantaloupe,cantaloupe,0.0,3.26,1.15,0.0,0.0,1.5,1.5
capers,capers,0.0,2.43,0.0,0.0,0.0,0.0,6.67
caraway,caraway,0.0,0.0,,0.0,,0.0,
cardamom,cardamom,0.0,0.0,,,,0.0,
carrot,carrot,0.31,3.52,2.77,0.0,0.14,1.74,0.67
cashew,cashew,67.99,11.02,4.69,0.0,53.03,24.24,27.28
casserole/gratin,casserole/gratin,,,,,,,
cauliflower,cauliflower,0.0,1.71,1.85,0.0,0.0,4.7,3.28
caviar,caviar,22.95,1.45,21.15,196.0,20.3,49.2,66.0
celery,celery,0.0,1.32,2.77,0.0,0.0,0.0,1.83
chambord,chambord,0.0,20.44,,,,0.0,
champagne,champagne,0.08,4.18,0.62,0.0,0.02,0.32,1.39
chard,chard,3.78,1.42,4.15,0.67,3.74,3.76,10.44
chartreuse,chartreuse,0.14,12.07,0.0,0.0,0.0,0.0,0.22
cheddar,cheddar,41.15,0.0,54.92,29.67,89.5,50.0,0.0
cheese,cheese,31.54,0.89,0.0,17.67,88.0,42.2,0.0
cherry,cherry,25.64,15.27,3.08,0.0,35.0,8.0,8.0
chestnut,chestnut,1.28,16.0,0.0,0.0,0.0,8.0,4.0
chicago,chicago,32.05,1.3,49.15,29.67,80.5,42.8,0.0
chicken,chicken,2.29,0.0,0.0,15.0,4.45,42.8,0.0
chickpea,chickpea,7.69,22.18,7.69,0.0,5.0,38.0,34.0
chile,chile,22.05,3.77,15.62,10.0,30.51,15.68,3.72
chile pepper,chile pepper,7.45,25.42,3.46,0.0,4.06,21.2,33.56
chili,chili,6.51,2.62,1.31,5.0,8.45,13.56,3.39
chill,chill,0.15,4.18,0.85,0.0,0.07,1.36,0.72
chive,chive,0.94,1.58,7.08,0.0,0.73,6.54,8.89
chocolate,chocolate,56.54,17.13,0.0,0.0,103.0,5.88,23.56
christmas,christmas,6.19,31.24,0.85,0.0,15.4,8.88,110.0
christmas eve,christmas eve,6.19,31.24,0.85,0.0,15.4,8.88,110.0
cilantro,cilantro,0.0,0.0,,,,0.0,
cinco de mayo,cinco de mayo,1.1,,13.85,,,46.6,24.83
cinnamon,cinnamon,0.0,0.0,,0.0,,0.0,
citrus,citrus,0.0,4.11,0.62,0.0,0.0,0.0,0.0
clam,clam,10.13,3.75,3.31,8.33,11.1,23.6,6.89
clove,clove,16.67,23.82,48.62,0.0,19.75,11.94,65.56
cobbler/crumble,cobbler/crumble,,,,,,,
cocktail,cocktail,1.56,2.88,4.46,39.67,1.23,26.48,2.28
cocktail party,cocktail party,1.56,2.88,4.46,39.67,1.23,26.48,2.28
coconut,coconut,45.77,16.87,0.0,0.0,160.5,7.14,10.72
